Timestamp,Battery Voltage (V),Battery Current (A),State of Charge (%),Solar Panel Voltage (V),Solar Panel Current (A),Solar Panel Efficiency (%),Power Consumption (W),Internal Temperature (C),Battery Temperature (C),Solar Panel Temperature (C),Radiator Temperature (C),Radiator Efficiency (%),Thermal Gradient,Satellite Position (km),Satellite Velocity (km/s),Gyroscope Readings (rad/s),Magnetometer Wheel Speed (RPM),Reaction Wheel Speed (RPM),Thruster Firing Status (1/0),Signal Strength (dB),Data Transmission Rate (Mbps),Packet Loss (%),Payload Power Consumption (W),Sensor Data Rate (Mbps),Camera/Image Sensor Temp (C),Spectral Sensor Health,Payload Data Quality,Error Flags (0/1),Latency (ms),Bit Error Rate,Redundant Sensor Discrepancies (0/1),Thruster Malfunctions (0/1),Thruster Efficiency (%),Satellite Orientation (°),Data Throughput (Mbps),Power System Anomalies (0/1),Thermal System Anomalies (0/1),AOCS Faults (0/1),Payload Failures (0/1)
21-02-2025 00:00,27.66365679,1.198668241,49.74767594,34.45027994,1.538836608,78.85818332,287.6250765,27.42538759,29.3365244,31.26558419,18.49087977,72.17063297,3.285012841,506.4344205,8.166475841,0.105101506,265.568801,1270.64597,0,-101.4863839,42.66446925,2.719767902,124.540779,6.979535892,37.80073706,Healthy,90.06795618,0,65.69250881,0.002097964,0,0,95.55044858,85.80352601,72.38384909,0,0,0,0
21-02-2025 00:00,23.6904211,5.256486,60.79981814,43.33966758,2.876521225,93.96837464,421.7610293,26.47449191,25.21692974,29.03584897,22.77423178,71.51577171,5.656480482,873.4674392,8.137723923,-0.093411109,255.5571838,1196.578713,0,-107.1781851,42.6473792,3.462401935,130.1498683,6.545812936,43.0728566,Healthy,91.75948885,0,19.18661344,0.009206534,0,0,99.38440912,277.466628,19.00983084,0,0,0,0
21-02-2025 00:00,27.68340825,1.148736107,34.15951406,39.44103281,3.175849519,83.38852309,472.7427963,23.83609665,21.50622722,22.68453292,15.53692352,74.8180306,3.217873621,602.553203,7.723365046,0.007758294,390.0148958,1940.706143,0,-83.49594127,27.6324069,1.121496808,170.1122777,13.28899526,33.43733815,Healthy,81.83588916,0,54.53997024,0.001557178,0,0,93.02679931,348.7962607,81.05614357,0,0,0,0
21-02-2025 00:00,24.69336758,-1.915186254,63.79381568,49.52063964,2.512940214,95.18623274,393.2580045,21.73702918,27.93069463,44.81217123,17.51839426,52.14717626,11.54598477,737.0488655,7.737697901,-0.039807701,481.6846031,561.1709594,0,-84.24511954,6.745081543,0.776053998,77.92775623,10.09209262,36.0220354,Healthy,96.08131039,0,24.13226591,0.008301889,0,0,97.76376786,107.0712496,91.19853332,0,0,0,0
21-02-2025 00:00,26.86638469,10.06903593,60.84030207,38.94752323,2.261754517,95.49660794,480.2094254,20.98122652,21.72935138,29.05674396,9.634914487,50.4732595,3.818374188,505.0988079,7.860604364,-0.069135711,308.7163483,1839.739298,0,-112.1247922,23.31352147,4.987886184,143.1436449,6.940645531,28.68648199,Healthy,96.38771704,0,26.29306384,0.003184832,0,0,93.44738599,160.9910686,52.07496704,0,0,0,0
21-02-2025 00:00,25.36331158,5.159404606,79.46075447,35.14622403,3.192969023,91.40121074,252.0155087,21.47550225,25.43348921,44.22492879,23.2851802,83.46083314,2.437364666,922.9346519,7.725618975,-0.068142261,184.6435114,932.0206281,0,-81.10921454,45.46364096,4.317294358,81.24088295,7.959303594,28.85758084,Degraded,83.22424998,0,51.55660234,0.004122429,0,0,87.16304805,185.9531997,34.29362429,0,0,0,0
21-02-2025 00:00,27.0464167,-5.502176036,58.82588282,41.69129921,3.799152036,84.49468006,491.2428914,16.75052452,35.42213265,28.052378,15.03742246,59.34811438,5.007349454,650.1961448,7.651165217,-0.06409878,169.4072935,1594.262205,0,-110.1086842,41.14900542,4.474570739,93.53541883,2.960126316,32.98523258,Healthy,85.89220882,0,27.86106923,0.006295314,0,0,98.07945867,14.07748913,72.28108574,0,0,0,0
21-02-2025 00:00,26.13050893,8.574359805,57.66959367,38.40825303,1.029095904,97.29801079,153.4669663,21.07332547,27.44478445,45.25252059,2.669649548,79.8959903,5.579199247,561.451515,7.913810599,0.154990932,414.2998344,1207.993731,0,-95.72088115,23.1640809,0.67044277,54.79583874,19.42320286,30.9052169,Healthy,90.73696025,0,62.9550928,0.009045394,0,0,82.2560666,208.4352512,52.86261534,0,0,0,0
21-02-2025 00:00,25.20347354,-3.099453044,44.48911173,46.0472376,3.169372586,88.62424694,272.9800252,23.58805754,24.95024832,44.86153474,26.01216662,84.01645418,4.017628445,535.3464689,8.170263646,0.017616476,215.2481599,668.1079991,0,-98.75789268,47.22968534,2.019355929,67.894874,16.50406968,31.6511147,Healthy,88.72712262,0,89.90326795,0.003218312,0,0,81.61980348,149.057787,6.751556955,0,0,0,0
21-02-2025 00:00,30.36398405,-2.413129683,97.56891929,32.92970875,2.324362338,77.82459461,289.4747646,23.81406583,31.4098583,45.89774721,22.00449668,53.07617678,8.029176153,637.743574,7.599315365,0.106416252,488.9856472,1424.09142,0,-110.9971914,22.9438578,0.197061571,148.6291466,13.72723299,37.70791457,Healthy,88.54186791,0,51.09466732,0.009209846,0,0,88.99791519,30.26914556,95.95781023,0,0,0,0
